text,id,created_at,score
Was soll man von einem Typ halten der englisch im Twitter Profil schreibt aber angeblich für das Deutsche Volk arbeitet @nouripour  #zdf #lanz #grüne #AFD #CDU #CSU #FDP #SPD #linke,1588142026377273344,2022-11-03T12:12:19.000Z,0.0
"RT @AMoehnle: „Habeck hat alle getäuscht, die Prüfung der #Atomkraft war eine Farce“, sagt ⁦@dg_graeber⁩, dessen Recherche eine große Debat…",1588141763671330818,2022-11-03T12:11:17.000Z,-0.2263
""".. Versuche der Grünen, Pädophilie salonfähig zu machen, ist schon viel geschrieben worden.""
#Gruene
#Pädophilie https://t.co/lL2QDXyMPs",1588141271423614980,2022-11-03T12:09:20.000Z,0.0
"RT @PeterBorbe: Grüne sind transdemokratisch: Sie fühlen sich als Demokraten, sind aber gar keine. #Gruene",1588140975268007936,2022-11-03T12:08:09.000Z,0.0
RT @AndersAlsSonst: Das sind die Freunde und Schützlinge der #GRÜNEN in Österreich und Deutschland sowie der #ÖVP #CDU und #SPÖ #SPD der #L…,1588140766915973121,2022-11-03T12:07:19.000Z,0.5994
"RT @Staatsfaint: Wieviel Deutschen- und Israelhass darf sich diese Frau noch erlauben?
#Roth 
#Gruene 
#GrueneSekte https://t.co/1DC4xI1PB4",1588140625815281664,2022-11-03T12:06:46.000Z,0.2263
Das sind die Freunde und Schützlinge der #GRÜNEN in Österreich und Deutschland sowie der #ÖVP #CDU und #SPÖ #SPD der #Liberalen und Teile der #NEOS. https://t.co/gKuYjC6eDB,1588140564360339456,2022-11-03T12:06:31.000Z,0.5994
"RT @booyabasic: EILT: 

Der Wahltermin für die Landtagswahl in NÖ wurde fixiert. Am 29.01.2023 wird gewählt! Also noch 87 Tage, bis die abs…",1588139974590926850,2022-11-03T12:04:10.000Z,0.0
"RT @PeterBorbe: Grüne sind transdemokratisch: Sie fühlen sich als Demokraten, sind aber gar keine. #Gruene",1588139195071188992,2022-11-03T12:01:04.000Z,0.0
"Er hat alle Journos veräppelt, die sensationsgierig sind/waren. Und lässt #övp weiter zittern. #schmid #UAusschuss",1588139118743150592,2022-11-03T12:00:46.000Z,-0.3182
"@KathiSchratt Ich meine auch die Freunde der #ÖVP, nicht seine.",1588138845429809157,2022-11-03T11:59:41.000Z,0.5994
"RT @AMoehnle: „Habeck hat alle getäuscht, die Prüfung der #Atomkraft war eine Farce“, sagt ⁦@dg_graeber⁩, dessen Recherche eine große Debat…",1588138271372152833,2022-11-03T11:57:24.000Z,-0.2263
"@derStandardat Habt Ihr Eierköpfe beim #standard nicht mitbekommen dass euer Messias #thomasschmid beim UA keine einzige Frage beantwortet hat.
Das Kartenhaus der #wksts bricht erneut zusammen.
Wird Zeit sich in aller Form bei #sebastiankurz u der #övp zu Entschuldigen.",1588138232121888770,2022-11-03T11:57:15.000Z,Nan
"+++ shit happens +++

@philbrokes #ÖVP #kurz #beidlgate #skandalkanzler #WKStA #epicfail https://t.co/FhlAzDLhdf",1588138211813081089,2022-11-03T11:57:10.000Z,0.0
Thomasschmid #övp #grüne https://t.co/rOjs7hSASs,1588137909676294145,2022-11-03T11:55:58.000Z,0.0
"Sponsored by @BMWK!!! 
#Grüne #Habeck #LetzteGeneration #KlimaRAF https://t.co/51b74ffH0g",1588137759289507847,2022-11-03T11:55:22.000Z,0.0
RT @Anemalon19: Der gesundheitspolitische Sprecher v. B90/#Gruene Dahmen (im Mittagsmagazin) will einrichtungsbezogene Impfpflicht über das…,1588137494213791744,2022-11-03T11:54:19.000Z,0.0
"@NDRinfo Dann möge spd #Weil dich mal für Bürger der Regionen bekanntgeben wann diese langfristig in Aussicht gestellte Attraktivität ÖPNV hergestellt ist . 
Bis dahin weiterhin kostenlos Park&amp;Ride Fahrrad etc zum Ausgleich der 49€Ticket subventionierten Ballungsräume 
#CDU #fdp #Grüne",1588137389205102592,2022-11-03T11:53:54.000Z,Nan
"RT @PeterBorbe: Grüne sind transdemokratisch: Sie fühlen sich als Demokraten, sind aber gar keine. #Gruene",1588137353633316866,2022-11-03T11:53:45.000Z,0.0
"RT @Staatsfaint: Wieviel Deutschen- und Israelhass darf sich diese Frau noch erlauben?
#Roth 
#Gruene 
#GrueneSekte https://t.co/1DC4xI1PB4",1588137335497134080,2022-11-03T11:53:41.000Z,0.2263
"RT @Staatsfaint: Wieviel Deutschen- und Israelhass darf sich diese Frau noch erlauben?
#Roth 
#Gruene 
#GrueneSekte https://t.co/1DC4xI1PB4",1588137263866716160,2022-11-03T11:53:24.000Z,0.2263
"RT @booyabasic: EILT: 

Der Wahltermin für die Landtagswahl in NÖ wurde fixiert. Am 29.01.2023 wird gewählt! Also noch 87 Tage, bis die abs…",1588137084006662144,2022-11-03T11:52:41.000Z,0.0
"RT @joanadiskurs: Mit immer mehr Schikanen und Drangsalierungen sollen Autofahrer in Berlin dazu gebracht werden, ihr Auto aufzugeben. #Grü…",1588136940766986246,2022-11-03T11:52:07.000Z,0.0
Grundgütiger! 😱👇🏻 #rechtsextremismus #klenk #grüne https://t.co/P33MWuTIDr,1588136679357190145,2022-11-03T11:51:05.000Z,0.0
"@Gerhard522 Also immer wenn du glaubst, dümmer und primitiver geht jetzt wirklich nicht mehr -
Dann verteidigt so ein #OeVP Groupie diesen DrecksVerein und es wird noch tiefer.

Die Türkise Laientruppe hat jede politische Kultur in Österreich vernichtet",1588136674239864838,2022-11-03T11:51:03.000Z,Nan
"RT @AMoehnle: „Habeck hat alle getäuscht, die Prüfung der #Atomkraft war eine Farce“, sagt ⁦@dg_graeber⁩, dessen Recherche eine große Debat…",1588135938785513472,2022-11-03T11:48:08.000Z,-0.2263
"RT @PeterBorbe: Grüne sind transdemokratisch: Sie fühlen sich als Demokraten, sind aber gar keine. #Gruene",1588135879608094720,2022-11-03T11:47:54.000Z,0.0
RT @Anemalon19: Der gesundheitspolitische Sprecher v. B90/#Gruene Dahmen (im Mittagsmagazin) will einrichtungsbezogene Impfpflicht über das…,1588135531824779264,2022-11-03T11:46:31.000Z,0.0
RT @derbuerger16: In diesem Land wählen sie Leute in den #Bundestag die dann keine Gelegenheit auslassen die Kultur und Geschichte unseres…,1588135077187297280,2022-11-03T11:44:43.000Z,0.0
"RT @Vernunft_WN: Simon Pories (@wwfaustria) mit klaren Worte gegen die #Ostumfahrung.
Schneeberger (#ÖVP) klammert sich an sein Uralt-Proje…",1588134978935787520,2022-11-03T11:44:19.000Z,0.3182
